scope,item,status,ready,total,open,detail,source,next_action
integration,Audited repo surfaces,mixed,31,58,27,"archived=4, compile_only=12, runnable=31, runnable_optional=1, scaffold=10",docs/audit/generated/surface_status.csv,Graduate compile_only/scaffold entries that exercise compiler pathways; archive dead surfaces.
codegen_pathway,Portable CPU reference,closed,366,366,0,"manifest: exact_verified=0, implementation_present=0, reference=366, artifact_or_planned=0, other=0, missing_target_row=149; runtime_paths: executable=5/5 (cpu=5)",docs/audit/generated/s_series_status.md,Keep portable reference execution distinct from native x86 proof.
codegen_pathway,x86 / AVX-512,mixed,294,349,55,"manifest: exact_verified=294, implementation_present=49, reference=6, artifact_or_planned=0, other=0, missing_target_row=166; runtime_paths: executable=87/87 (x86=87)",docs/audit/generated/s_series_status.md,Promote implementation-only rows with exact Zen 5 execute-and-compare; keep AMX separately gated.
codegen_pathway,Apple CPU,mixed,394,398,4,"manifest: exact_verified=0, implementation_present=4, reference=394, artifact_or_planned=0, other=0, missing_target_row=117; runtime_paths: executable=2/2 (apple_cpu=2)",docs/audit/generated/s_series_status.md,Exact-device verify implementation-only rows or retain them explicitly as reference execution.
codegen_pathway,Apple GPU,mixed,148,207,59,"manifest: exact_verified=148, implementation_present=51, reference=4, artifact_or_planned=4, other=0, missing_target_row=308; runtime_paths: executable=24/24 (apple_gpu=24)",docs/audit/generated/s_series_status.md,Promote implementation/artifact rows only with exact-device execute-and-compare.
codegen_pathway,ROCm / gfx1151,mixed,346,352,6,"manifest: exact_verified=346, implementation_present=0, reference=2, artifact_or_planned=4, other=0, missing_target_row=163; runtime_paths: executable=92/92 (rocm=92)",docs/audit/generated/s_series_status.md,Promote remaining reference rows only with exact gfx1151 execute-and-compare.
codegen_pathway,NVIDIA SM80,open,0,72,72,"manifest: exact_verified=0, implementation_present=0, reference=0, artifact_or_planned=72, other=0, missing_target_row=443; runtime_paths: executable=0/0 (no runtime rows)",docs/audit/generated/s_series_status.md,Retain as declared/open until architecture-owned execution evidence exists.
codegen_pathway,NVIDIA SM90,open,0,104,104,"manifest: exact_verified=0, implementation_present=0, reference=2, artifact_or_planned=102, other=0, missing_target_row=411; runtime_paths: executable=0/0 (no runtime rows)",docs/audit/generated/s_series_status.md,Keep compile/artifact evidence separate from SM120 exact-device execution.
codegen_pathway,NVIDIA SM100,open,0,72,72,"manifest: exact_verified=0, implementation_present=0, reference=0, artifact_or_planned=72, other=0, missing_target_row=443; runtime_paths: executable=0/0 (no runtime rows)",docs/audit/generated/s_series_status.md,Retain as declared/open until architecture-owned execution evidence exists.
codegen_pathway,NVIDIA SM120,mixed,69,134,65,"manifest: exact_verified=69, implementation_present=0, reference=0, artifact_or_planned=65, other=0, missing_target_row=381; runtime_paths: executable=52/52 (nvidia_sm120=52)",docs/audit/generated/s_series_status.md,Promote artifact rows with SM120 execute-and-compare evidence.
open_work,Target IR native/fused codegen,mixed,329,349,20,"device_verified_abi=27, device_verified_jit=196, fused=72, no_kernel_required=8, not_applicable=26, reference=20",docs/audit/generated/support_table.csv,Promote high-use reference rows into native/fused Target IR or mark intentional reference-only lanes.
open_work,backend_kernel,mixed,99,515,416,"primitive contract axis; open means partial or planned, not necessarily missing API support",docs/audit/generated/s_series_status.md,Promote by backend/pathway; do not treat every target as an all-up compiler veto.
open_work,Direct test evidence,mixed,401,515,114,"covered_by_family=26, directly_tested=408, hardware_gated=4, structural_only=77",docs/audit/generated/test_coverage.csv,Convert structural_only and needs_direct_test rows into direct compare fixtures; keep hardware_gated tied to backend proof.
open_work,Audited repo surfaces,mixed,31,58,27,"archived=4, compile_only=12, runnable=31, runnable_optional=1, scaffold=10",docs/audit/generated/surface_status.csv,Graduate compile_only/scaffold entries that exercise compiler pathways; archive dead surfaces.
open_work,ROCm target-map native promotion,mixed,36,47,11,"artifact_only=11, device_verified_abi=2, device_verified_jit=34",docs/audit/generated/rocm_target_map.csv,Promote artifact_only rows with hardware execute-and-compare or move them to an explicit hardware-gated bucket.
open_work,CUDA target-map native promotion,open,0,41,41,artifact_only=41,docs/audit/generated/nvidia_sm90_target_map.csv,Promote artifact_only rows with hardware execute-and-compare or move them to an explicit hardware-gated bucket.
dashboard_map,compiler_progress,primary,0,0,0,"Reader-facing all-up rollup: phase/IR state, primitive axes, integration evidence, codegen pathways, and open work.",docs/audit/generated/compiler_progress.md,Start here for compiler-progress status.
dashboard_map,support_table,drilldown,0,0,0,Per-op phase support across API/frontend/Graph/Schedule/Tile/Target/runtime/bench.,docs/audit/generated/support_table.csv,Use when an open phase row needs the actual op list.
dashboard_map,s_series_status,drilldown,0,0,0,Primitive contract axes by category; owns batching/transpose/sharding/lowering/backend-kernel status.,docs/audit/generated/s_series_status.md,Use for primitive-contract promotion planning.
dashboard_map,standalone_primitive_coverage,companion,0,0,0,Historical primitive registry snapshot and S-series grouping; not the all-up completion gate.,docs/audit/standalone_primitive_coverage.md,Keep for primitive vocabulary/history; avoid using it as the primary progress summary.
dashboard_map,op_target_conformance,drilldown,0,0,0,"Op-by-target conformance cells; useful for target-specific holes, not overall compiler health.",docs/audit/op_target_conformance.csv,Use after a backend/pathway row points at a target-specific gap.
dashboard_map,runtime_execution_matrix,primary_evidence,0,0,0,Executable compiler paths and launch outcomes by target.,docs/audit/generated/runtime_execution_matrix.csv,Use for native execution claims.
dashboard_map,target_maps,drilldown,0,0,0,Apple/ROCm/CUDA native/artifact status per backend op family.,docs/audit/generated/*_target_map.csv,Use for backend promotion queues.
dashboard_map,verifier_coverage,integration,0,0,0,ODS/C++ verifier implementation coverage.,docs/audit/generated/verifier_coverage.csv,Use for IR legality hardening work.
dashboard_map,test_coverage,integration,0,0,0,"Direct, structural, family, and hardware-gated test evidence by op.",docs/audit/generated/test_coverage.csv,Use for proof-quality triage.
dashboard_map,runtime_abi,integration,0,0,0,C ABI symbols and implementation/stub split.,docs/audit/generated/runtime_abi.csv,Use when runtime/backend claims need symbol-level evidence.
dashboard_map,surface_status,integration,0,0,0,"Examples, benchmarks, research, tools, and tests surface status.",docs/audit/generated/surface_status.csv,Use to find runnable proof surfaces and stale scaffolds.
dashboard_map,dtype_flow,specialized,0,0,0,"Per-operator logical dtype, physical ABI storage, accumulator, IR-layer, and exact-target state.",docs/audit/generated/dtype_flow.csv,Use for dtype support questions; do not infer per-dtype execution from aggregate conformance or capability rows.
dashboard_map,contract_consumers / effect_lattice / tsol,specialized,0,0,0,"Focused contract-pass, effect-system, and TSOL views.",docs/audit/generated/,Use only when the specialized subsystem is the question.
