surface,directory,entry_point,status,command,extras_required,reason,notes
benchmarks,benchmarks,benchmarks/run_all.py,runnable,PYTHONPATH=.:python python benchmarks/run_all.py --smoke --json-only --output /tmp/tessera_bench_smoke.json,,,Top-level orchestrator. Sweeps GEMM / attention / collective via library modules in benchmarks/*.py. Uses a roofline-only path when no accelerator is present.
benchmarks,benchmarks/DeepScholar-Bench,benchmarks/DeepScholar-Bench/tessera_deepscholar_model.py,runnable,PYTHONPATH=python python benchmarks/DeepScholar-Bench/tessera_deepscholar_model.py --output /tmp/tessera_deepscholar_smoke.json,,,CPU smoke benchmark using current APIs only: ``tessera.jit`` plus matmul / softmax / layer_norm over NumPy-backed text embeddings. The optional LOTUS adapter imports cleanly but remains guarded behind research extras.
benchmarks,benchmarks/Tessera_Operator_Benchmarks,benchmarks/Tessera_Operator_Benchmarks/scripts/opbench.py,runnable,cmake -S benchmarks/Tessera_Operator_Benchmarks -B /tmp/tessera_opbench_audit_build && cmake --build /tmp/tessera_opbench_audit_build -j2 && PYTHONPATH=.:python python benchmarks/Tessera_Operator_Benchmarks/scripts/opbench.py --config benchmarks/Tessera_Operator_Benchmarks/scripts/configs/quick_sweep.yaml --bin /tmp/tessera_opbench_audit_build/opbench --backend reference --out /tmp/tessera_opbench_audit,,,"Operator-level C++ harness. The audit configures/builds in ``/tmp`` and runs the quick reference sweep across all seven operator groups, producing real latency + throughput numbers per row. Deeper artifact and tessera-runtime bridge sweeps are covered by the slow operator-benchmark tests."
benchmarks,benchmarks/Tessera_SuperBench,benchmarks/Tessera_SuperBench/runner/bench_run.py,compile_only,PYTHONPATH=.:python python benchmarks/Tessera_SuperBench/runner/bench_run.py --help,,,Whole-model harness (~30 min full sweep — marked ``slow`` in the pytest suite). CI smoke is the ``--help`` parse-only check; the real workload runs are off the critical path.
benchmarks,benchmarks/apple_cpu,benchmarks/apple_cpu/benchmark_execution_kind.py,runnable,PYTHONPATH=python python benchmarks/apple_cpu/benchmark_execution_kind.py --ci --output /tmp/tessera_apple_cpu_execution_kind.json,,,Empirically proves the apple_cpu ``execution_kind`` axis in ``apple_target_map.py``: matmul tracks numpy's Accelerate-backed cblas_sgemm (proof of ``accelerate_native``); layer_norm / softmax / gelu naturally track numpy (proof of ``numpy_reference``). The empirical gate is ratio-based since macOS numpy already routes through Accelerate.
benchmarks,benchmarks/apple_gpu,benchmarks/apple_gpu/benchmark_ga_ebm.py,runnable,PYTHONPATH=python python benchmarks/apple_gpu/benchmark_ga_ebm.py --ci --output /tmp/tessera_ga_ebm_smoke.json,,,GA + EBM end-to-end harness. ``--ci`` exits 0 on non-Darwin hosts after emitting `skipped_apple_gpu`. Apple Silicon hosts exercise 17 GA + 9 native EBM + 4 workload rows. The matched fusion sibling (``benchmark_fusion.py``) uses the same JSON schema.
benchmarks,benchmarks/apple_gpu,benchmarks/apple_gpu/benchmark_fusion.py,runnable,PYTHONPATH=python python benchmarks/apple_gpu/benchmark_fusion.py --shapes 4x4x4 --swiglu-shapes 1x4x4x4 --reps 2 --output /tmp/tessera_apple_gpu_fusion_smoke.json,,,Apple GPU fusion sweep for matmul→softmax and SwiGLU. Skips cleanly on non-Darwin; on Darwin it emits a JSON row pair for fused vs sequential tiny shapes.
benchmarks,benchmarks/baselines,benchmarks/baselines/cpu_smoke.json,runnable,PYTHONPATH=.:python python benchmarks/perf_gate.py /tmp/tessera_bench_smoke.json --baseline benchmarks/baselines/cpu_smoke.json,,,Recorded CPU smoke baseline used by perf_gate.py. The command shown gates the smoke output against it.
benchmarks,benchmarks/clifford_core,benchmarks/clifford_core/core.py,compile_only,"PYTHONPATH=.:python python -c ""from benchmarks.clifford_core.core import RotorSampler; print('ok')""",,,"Clifford-algebra library workload (Cl(3, 0) — 8 blades). Composes ``tessera.ga.*`` primitives (rotor sampling, sandwich rotation, geometric product, grade projection, norm_squared).  Pytest contract lives at ``tests/unit/test_clifford_core_benchmark.py``."
benchmarks,benchmarks/common,benchmarks/common/__init__.py,compile_only,"PYTHONPATH=python python -c ""import sys; sys.path.insert(0,'benchmarks'); from common import correctness, compiler_contract, artifact_schema; print('ok')""",,,"Shared benchmark harness library — correctness probes, compiler-contract checks, artifact JSON schema. Imported by every benchmark; the CI command is an import smoke."
benchmarks,benchmarks/corrdiff,benchmarks/corrdiff/benchmark_corrdiff.py,runnable,PYTHONPATH=.:python python benchmarks/corrdiff/benchmark_corrdiff.py --reps 2 --output /tmp/tessera_corrdiff_smoke.json,,,"Diffusion grid core (was: CorrDiff).  Standalone benchmark harness sweeps (B, H, W, C_hid, heads, window) configs and emits canonical tessera.benchmark.v1 JSON.  Library lives at ``corrdiff_core.py``; pytest contract at ``tests/unit/test_corrdiff_core_benchmark.py``."
benchmarks,benchmarks/energy_core,benchmarks/energy_core/core.py,compile_only,"PYTHONPATH=.:python python -c ""from benchmarks.energy_core.core import annealing_schedule; print('ok')""",,,"Energy-based model library workload — quadratic energy, stable logsumexp partition, Langevin step, linear annealing. Composes ``tessera.ebm.*`` primitives.  Pytest contract: ``tests/unit/test_energy_core_benchmark.py``."
benchmarks,benchmarks/grid_ai_core,benchmarks/grid_ai_core/core.py,compile_only,"PYTHONPATH=.:python python -c ""from benchmarks.grid_ai_core.core import tile_field; print('ok')""",,,"Gridded-AI library workload (non-diffusion).  Composes tiled field input, 5-point local stencil feature, 2D local-window attention, conv/fused block, deterministic noise, halo oracle.  Matching MLIR fixture at ``tests/tessera-ir/phase7/grid_ai_core_ir_visible.mlir``.  Pytest contract: ``tests/unit/test_grid_ai_core_benchmark.py``."
benchmarks,benchmarks/linalg,benchmarks/linalg/linalg_bench.py,runnable,PYTHONPATH=python python benchmarks/linalg/linalg_bench.py --smoke --output /tmp/tessera_linalg_smoke.json,,,"Linalg reference benchmark — cholesky / qr / svd / tri_solve.  CPU numpy/scipy-backed; the numerical contract matches numpy to ~1e-14 (rel err).  Native backend lowering (Apple GPU MSL kernels, NVIDIA cuSOLVER bindings, ROCm hipSOLVER bindings) is a future M-series milestone — the benchmark stays useful as a correctness + regression-bound for the reference path."
benchmarks,benchmarks/spectral,benchmarks/spectral/spectral_correctness.py,runnable,PYTHONPATH=python python benchmarks/spectral/spectral_correctness.py --output /tmp/tessera_spectral_correctness.json,,,"Builds + runs the C++ ``ts-spectral-correctness`` microbench (Stockham vs naive DFT at N={64,128,256,512,1024}), scrapes its key=value output into the standard tessera.benchmark.v1 JSON schema, and exits non-zero on any size that deviates more than the 1e-3 abs tolerance.  This is the **correctness sentinel** every future native FFT lowering certifies against — runs in <1s, self-contained (no MLIR build dependency)."
benchmarks,benchmarks/spectral,benchmarks/spectral/spectral_bench.py,runnable,"PYTHONPATH=.:python python benchmarks/spectral/spectral_bench.py --ops fft1d --sizes 64,128 --batch 1 --repeats 3 --warmup 1 --backend tessera-runtime --outcsv /tmp/tessera_spectral_runtime_smoke.csv",,,"Spectral solver bench.  The ``tessera-runtime`` backend routes through ``tessera.ops.registry``'s numpy reference path for fft/ifft/rfft/irfft/dct/spectral_conv/stft/istft, producing real latency + correctness rows (``execution_kind=reference``).  Native FFT lowering (WGMMA/MFMA/MSL) is the next gate — when it lands the same lane reports faster numbers without any schema change.  The legacy ``--backend tessera-artifact`` smoke continues to ship IR-emission validation."
benchmarks,benchmarks/visual_complex_core,benchmarks/visual_complex_core/core.py,compile_only,"PYTHONPATH=.:python python -c ""from benchmarks.visual_complex_core.core import clifford_energy; print('ok')""",,,M7 cross-lane GA × EBM library workload.  Composes RotorSampler (from clifford_core) + Langevin step (from energy_core) into a single Clifford-norm energy flow.  Pytest contract: ``tests/unit/test_visual_complex_core_benchmark.py``.
research,research/pddl_instruct,research/pddl_instruct/tools/validator/validator.py,runnable,PYTHONPATH=python python research/pddl_instruct/tools/validator/validator.py --trace research/pddl_instruct/examples/traces/flash_trace.jsonl --out /tmp/tessera_pddl_validator_smoke.json,,,Symbolic / verifier-guided reasoning experiment. Validator core does pre/effect execution + numeric constraint checks against a CoT trace.  The smoke command validates the bundled flash_trace.jsonl and emits a JSON report.
research,research/sandbox_compilers,research/sandbox_compilers/tilec/driver.py,compile_only,PYTHONPATH=research/sandbox_compilers python3 -m tilec.driver research/sandbox_compilers/examples/matmul.tss --backend c --out /tmp/tilec_smoke --dump-ir,,,"Frontend-to-backend compiler experiment for TileScript-style DSLs.  Indentation crash in ``tilec/driver.py`` was fixed 2026-05-31 and the stale argparse ``choices`` list was extended to include the ``rocm`` / ``nvidia`` branches that already existed in the body.  The smoke command parses ``examples/matmul.tss``, prints the textual IR, and emits a C backend artifact (``mm.c`` + ``Makefile``) into the output directory.  ``compile_only`` because the driver emits source artifacts rather than executing them; building / running the generated C is a separate step."
tools,tools/CLI/Tessera_CLI_Starter_v0_1,tools/CLI/Tessera_CLI_Starter_v0_1/CMakeLists.txt,archived,,,"Historical standalone CLI starter suite.  It remains in-tree for reference, but the active compiler tools are the root ``tools/tessera-opt`` and ``tools/tessera-translate`` surfaces.","C++ CLI starter — scaffolds tessera-{compile,run,opt,inspect,profiler,autotune,new} binaries.  CMake stages into ``_build/`` (gitignored as of 2026-05-19)."
tools,tools/profiler,tools/profiler/cli/tprof.cpp,compile_only,"python -c ""import pathlib; assert pathlib.Path('tools/profiler/CMakeLists.txt').is_file(); assert pathlib.Path('tests/unit/test_tools_subprojects.py').is_file(); print('profiler build smoke owned by test_tools_subprojects + validate.sh')""",,,"C++ profiler (tprof) — runtime, Perfetto trace writer, and report generator.  It is build-smoked by ``tests/unit/test_tools_subprojects.py`` and by ``scripts/validate.sh``."
tools,tools/profiler/scripts,tools/profiler/scripts/tprof_report.py,runnable,PYTHONPATH=python python tools/profiler/scripts/tprof_report.py --help,,,"Python helpers that wrap the tprof binary's JSON outputs: HTML report renderer, roofline annotator, Perfetto trace viewer.  CI smoke is ``--help``."
tools,tools/roofline_tools,tools/roofline_tools/tools/roofline/cli_v2.py,runnable,python tools/roofline_tools/tools/roofline/cli_v2.py one --peaks tools/roofline_tools/tools/roofline/peaks/sm90_with_links.yaml --input tools/roofline_tools/tools/roofline/examples/nsight_min.csv --fmt nsight --dtype fp32 --outdir /tmp/tessera_roofline_tools_audit --export-json /tmp/tessera_roofline_tools_audit/classification.json,,,Ingests Nsight CSV + Perfetto JSON traces and emits roofline-annotated HTML.  The audit smoke runs the bundled Nsight CSV example into ``/tmp``.
tools,tools/tessera-opt,tools/tessera-opt/tessera-opt.cpp,compile_only,"python -c ""import pathlib; assert pathlib.Path('tools/tessera-opt/CMakeLists.txt').is_file(); print('tessera-opt structural smoke ok — build owned by lit lane')""",,,"MLIR opt-style driver — registers 5 dialects (tessera, tessera.neighbors, tessera.solver, tessera_apple, tpp) + 70+ passes + 6 named lowering pipelines.  Requires MLIR/LLVM 21 — proof tests live in ``tests/unit/test_tessera_opt_build.py`` and the real cmake-build/lit smoke is owned by the opt-in ``lit`` CI lane."
tools,tools/tessera-translate,python/tessera/cli/translate.py,runnable,PYTHONPATH=python python -m tessera.cli.translate --help,,,"Two complementary surfaces: the Python CLI (``tessera-translate``) handles StableHLO / GGUF / SafeTensors export via ``tessera.aot``; the C++ binary (``tessera-translate-mlir``, ``tools/tessera-translate/tessera-translate.cpp``) handles MLIR-native translation flags.  CI smoke is the Python CLI's ``--help``; MLIR binary proof lives in ``tests/unit/test_cli_translate.py``, ``tests/unit/test_tessera_opt_build.py``, and the opt-in ``lit`` CI lane."
tests,archive/tests,archive/tests,archived,,,Historical tests preserved for reference; not run in any CI lane.,
tests,tests/integration,tests/integration,scaffold,,,Directory reserved for cross-component integration tests.  Currently empty (no test_*.py files).  Pytest skips it gracefully.  Status = scaffold so reviewers see it surface in the dashboard.,
tests,tests/kernel_tests,tests/kernel_tests/README_TESSERA_PERF.md,scaffold,,,C++ kernel-level scaffold (CUDA / HIP / ROCm).  Built via CMake when ``TESSERA_ENABLE_CUDA=ON`` or ``TESSERA_ENABLE_HIP=ON``.  Not exercised in the CPU validation spine.  Promotion to ``runnable`` is gated on Phase G (NVIDIA) / Phase H (ROCm) hardware bring-up.,Tracked separately from ``tests/tessera_tests/tessera_kernels_scaffold/`` which is a structurally-similar historical scaffold; a future follow-up may merge them once both have hardware lanes.
tests,tests/performance,tests/performance/test_compiler_performance_plan.py,compile_only,python -m pytest tests/performance/ --collect-only -q --no-header,,,Deterministic roofline / proxy performance contracts.  Run by ``TESSERA_RUN_PERFORMANCE_TESTS=1 ./scripts/test.sh`` or the ``check-tessera-performance`` CMake target.  Manifest smoke = collect-only.
tests,tests/regression,tests/regression,scaffold,,,Directory reserved for regression cases that lock in past bug fixes.  Currently empty (no test_*.py files).  Net-new regression tests should land under ``tests/unit/`` until the regression directory has its own ownership story.,
tests,tests/tessera-ir,tests/tessera-ir,compile_only,"python -c ""import pathlib; assert pathlib.Path('tests/tessera-ir').is_dir(); print('tessera-ir lit fixtures present')""",,,"FileCheck-based MLIR pass and pipeline lit fixtures.  Structurally present (this manifest's smoke just confirms the directory).  Real exec needs ``lit`` + a built ``tessera-opt`` binary — owned by the lit CI lane, not the manifest's surface-audit lane."
tests,tests/tessera_numerical_validation,tests/tessera_numerical_validation/run_all.sh,scaffold,,,"Numerical validation harness (reference-vs-runtime comparisons for compiled CPU + future hardware backends).  Today the directory contains ``README.md`` + ``requirements.txt`` + ``run_all.sh`` + a ``tessera_numerics/`` Python package, but **no test_*.py files** — pytest doesn't pick up any tests here.  Modernization onto current APIs (``ts.jit``, ``fn.explain()``, ``execution_kind``, fallback_reason) is deferred until a workload genuinely needs it.",Run the legacy harness via ``bash tests/tessera_numerical_validation/run_all.sh`` after installing ``requirements.txt`` extras.
tests,tests/tessera_tests/tessera_kernels_scaffold,tests/tessera_tests/tessera_kernels_scaffold/README_TESSERA_PERF.md,archived,,,"Structurally-similar scaffold to ``tests/kernel_tests/`` with the same README + ci/configs/scripts/tests layout.  Kept in-tree for reference until the kernel-tests lane is validated against real hardware (Phase G / H), at which point this directory becomes a candidate for merge or deletion.","If you're looking for an active kernel-level scaffold, use ``tests/kernel_tests/`` — that's the canonical one."
tests,tests/unit,tests/unit,runnable,python -m pytest tests/unit/ -q -m 'not slow' --collect-only --no-header,,,"Daily edit-loop Python suite.  Collected today: ~4,748 fast tests, 777 slow-marked deselected, 5,525 total.  Smoke = collect-only so the manifest check stays under a second; the real exec runs via ``scripts/validate.sh`` and ``release_gate.py``."
tests,tests/unit/_slow_subset,tests/unit (slow-marked tests),compile_only,python -m pytest tests/unit/ -q -m 'slow' --collect-only --no-header,,,"The ``-m slow`` partition — 777 tests dominated by ``test_benchmark_gemm.py``, ``test_benchmark_compiler_contract.py``, ``test_operator_benchmarks_contract.py``.  Status is ``compile_only`` because the audit runs the collect-only smoke; full execution is the 30-minute opt-in lane (see ``MEMORY_AND_PERFORMANCE.md``)."
